0.0000__7.6429, 0.0152__9.9258, 31.9989__10.6400, 31.2223__9.8267, 31.8239__10.8438, 30.7046__11.3245, 30.7714__7.2248, 31.1391__12.6725, 31.8149__10.6210, 31.9885__15.5497, 24.7917__18.0168, 31.9534__15.9758, 31.9953__11.1619, 31.9248__12.5108, 31.5222__8.4091, 31.8329__9.9128, 30.4639__5.2242, 31.8884__10.1015, 31.2322__10.1699, 31.9196__20.5917, 31.3634__9.5782, 31.9834__11.0096, 29.6126__8.7374, 31.8504__19.1138, 31.8927__11.2233, 30.1010__8.6994, 30.8460__9.4844, 30.4081__9.1989, 19.5855__6.2280, 31.8754__10.1434, 31.9790__10.6572, 31.9705__11.4829, 32.0000__31.9830, 
0.0000__6.6223, 0.0811__6.7011, 31.9882__24.2214, 31.7760__15.0546, 31.8844__10.8008, 29.5153__10.3803, 31.3438__17.5687, 29.2834__6.9717, 31.9977__11.0256, 31.7841__13.8828, 31.8781__14.5228, 31.9761__16.7432, 9.9766__5.9404, 31.6879__10.8408, 31.8646__9.9039, 29.3761__8.7344, 31.8472__10.0401, 31.4724__9.5569, 31.9610__15.1553, 31.7955__10.5447, 30.8323__9.2445, 31.9414__10.0376, 31.9522__10.9122, 30.5659__10.8742, 31.9368__11.5426, 29.8600__9.8957, 31.5690__9.9223, 30.5870__9.2223, 31.1780__9.8383, 30.9930__9.3115, 31.9770__12.2379, 31.7460__10.7410, 32.0000__31.6823, 
0.0000__9.1962, 0.0005__28.8839, 29.9038__14.2196, 30.1693__8.9240, 31.3952__11.7580, 30.6637__12.1244, 31.3860__9.9478, 31.2111__9.5267, 31.8120__14.3160, 31.9798__19.3594, 31.2733__7.7751, 31.7950__12.8052, 31.6186__9.8571, 31.6967__10.6284, 29.8968__8.9930, 31.7853__10.6051, 0.1435__25.4627, 31.9888__11.6170, 31.2702__7.4918, 29.9916__9.6170, 31.5471__11.0884, 31.9851__15.1237, 31.9597__11.7392, 31.0110__10.2526, 31.9584__10.4274, 29.6635__8.1533, 31.9809__12.8659, 27.3666__13.2190, 30.6813__5.9580, 31.9830__18.8211, 29.8563__2.8476, 31.2122__9.3050, 32.0000__31.9812, 
0.0000__4.5947, 4.7508__3.0128, 31.6594__21.5271, 16.1675__3.5156, 31.6718__3.4351, 31.1638__10.9102, 31.9380__10.2690, 31.9882__10.8920, 31.4245__10.8240, 31.9926__15.7833, 31.9091__28.6638, 31.2271__12.1658, 29.6772__9.7849, 31.9603__10.5129, 30.3416__17.6536, 29.4580__7.6547, 30.4787__9.2005, 29.7678__8.6566, 31.7291__10.4379, 30.8925__10.0820, 31.9976__15.9902, 30.6731__9.1773, 31.9925__11.4217, 31.0673__9.5925, 31.9823__15.4238, 31.8119__15.1076, 29.7444__8.0924, 31.9703__15.2546, 31.9809__11.0379, 31.8452__11.9616, 30.7719__9.3122, 31.9648__12.0857, 32.0000__31.6936, 
0.0000__7.3981, 13.5853__3.9644, 27.4429__7.5996, 29.9243__8.9301, 30.1822__9.5633, 30.5932__9.8191, 30.1315__9.2556, 31.4565__18.2722, 31.9680__16.2988, 31.9805__12.8777, 31.5756__10.1383, 31.8808__10.0593, 31.1178__9.5097, 31.7914__13.7496, 31.8208__11.3319, 31.5658__15.1151, 31.9017__15.0778, 31.9468__12.6982, 26.9803__6.1724, 30.8391__11.2952, 31.8663__12.8262, 31.4772__10.2332, 31.9842__10.4034, 30.0940__5.7187, 29.4589__9.3955, 31.9718__10.8962, 31.6483__10.0825, 31.0376__9.4777, 30.7481__8.5164, 31.9425__27.7931, 31.4090__23.3523, 31.9835__13.3072, 32.0000__31.6845, 
0.0000__11.6134, 0.0028__6.0629, 27.0572__14.1485, 25.8946__5.5570, 29.5135__9.0744, 31.9556__10.0672, 30.6050__9.1222, 30.7987__11.3381, 31.7580__10.1458, 30.6765__9.4770, 31.9676__11.1385, 31.4572__10.0390, 30.4939__9.0674, 28.9317__10.2061, 31.9079__10.4418, 31.8464__9.9263, 31.6867__11.8865, 30.7014__9.7989, 31.9143__14.1195, 30.7249__10.3351, 31.7387__16.4010, 31.9633__13.9286, 31.1604__9.6510, 29.6133__9.9561, 31.9551__10.0542, 31.7870__12.6283, 31.9838__11.8195, 31.9075__23.9433, 21.3817__6.2635, 18.9434__6.1137, 31.6534__12.7866, 31.9791__11.0949, 32.0000__31.9936, 
0.0000__10.4692, 25.0562__4.8233, 29.3853__8.6218, 30.3420__9.8770, 29.9167__8.9613, 29.6565__10.5242, 30.8308__14.8347, 31.9309__12.3730, 0.0081__7.4692, 31.4584__9.8495, 31.9311__23.8889, 31.9847__15.4491, 31.7077__9.3268, 31.8982__10.1047, 28.2798__23.4304, 12.5262__5.7074, 31.9395__10.9386, 29.7777__9.1165, 31.9987__13.9751, 30.2052__10.8487, 30.2381__9.4455, 31.6536__13.8652, 31.8823__9.7290, 30.7787__8.9939, 31.9699__11.1263, 31.9699__9.8845, 30.9758__9.6534, 11.2916__20.8345, 29.9526__10.1447, 31.8477__14.9674, 30.6067__9.3144, 31.8253__15.7269, 32.0000__31.9927, 
0.0000__7.4467, 30.6838__9.6061, 21.4990__6.4864, 31.6158__10.0639, 31.8408__9.4907, 31.2371__10.9283, 31.8862__14.8119, 31.8958__10.9925, 31.0178__10.8092, 31.9317__11.7437, 31.9252__10.0783, 30.2836__9.4775, 21.2540__9.6761, 31.2414__17.4001, 29.0925__3.3087, 31.8212__10.8947, 29.9172__9.3234, 31.3692__9.9056, 30.5648__9.7961, 31.6125__9.9952, 31.9534__10.4234, 31.8963__11.9852, 31.9736__10.3226, 31.8743__7.8490, 31.9658__12.2398, 29.9654__8.8731, 22.0799__19.3974, 31.8827__10.7773, 14.1519__4.9061, 26.2925__13.7632, 31.9277__12.7903, 31.9301__25.1640, 32.0000__31.8122, 
0.0000__7.4364, 13.6164__4.5641, 30.4535__12.2041, 31.5407__10.4464, 25.9573__6.8639, 31.7841__11.0335, 31.7667__10.8994, 31.3343__14.3535, 31.8591__10.1630, 31.7466__10.0157, 30.3076__8.7428, 0.3000__2.5184, 31.8102__26.4595, 30.0102__9.0366, 31.9928__28.8132, 31.9943__27.0486, 29.7492__8.8439, 28.0808__7.4078, 31.9258__10.3302, 31.4751__9.7627, 30.4729__8.7298, 30.9112__9.8083, 30.3936__9.3023, 31.9386__10.9011, 31.9641__11.2096, 31.9503__10.1520, 30.6491__11.6962, 30.9866__16.0227, 31.5287__10.1349, 31.9636__13.6798, 31.9735__23.8607, 31.9320__30.3982, 32.0000__31.7547, 
0.0000__3.2559, 27.4644__7.7485, 29.1637__8.3036, 31.0120__9.4172, 31.9746__12.2520, 31.6263__10.6079, 23.0920__7.3241, 31.7046__11.1152, 30.9315__9.4146, 26.6876__6.3211, 30.1870__9.1554, 30.7945__10.0563, 24.6829__5.7301, 31.2124__9.6277, 31.2864__9.6659, 31.9671__20.7475, 31.4159__2.8333, 30.5954__9.5491, 30.6317__9.6943, 31.9441__22.6640, 31.7576__12.0286, 31.8440__15.8459, 31.8205__10.4915, 31.7946__9.9929, 31.9253__12.4394, 31.9664__10.8850, 31.9169__10.3866, 30.7260__8.2715, 28.8023__11.1243, 31.7203__13.5428, 31.0475__9.6888, 31.7191__9.9984, 32.0000__31.9928, 
