464 1.0 A_3_80
465 1.0 A_3_81
466 1.0 A_3_82
467 1.0 A_3_83
468 1.0 A_3_84
469 1.0 A_3_85
470 1.0 A_3_86
471 1.0 A_3_87
472 1.0 A_3_88
473 1.0 A_3_89
474 1.0 A_3_90
475 1.0 A_3_91
476 1.0 A_3_92
477 1.0 A_3_93
478 1.0 A_3_94
479 1.0 A_3_95
480 1.0 A_3_96
481 1.0 A_3_97
482 1.0 A_3_98
483 1.0 A_3_99
484 1.0 A_3_100
485 1.0 A_3_101
486 1.0 A_3_102
487 1.0 A_3_103
488 1.0 A_3_104
489 1.0 A_3_105
490 1.0 A_3_106
491 1.0 A_3_107
492 1.0 A_3_108
493 1.0 A_3_109
494 1.0 A_3_110
495 1.0 A_3_111
496 1.0 A_3_112
497 1.0 A_3_113
498 1.0 A_3_114
499 1.0 A_3_115
500 1.0 A_3_116
501 1.0 A_3_117
502 1.0 A_3_118
503 1.0 A_3_119
504 1.0 A_3_120
505 1.0 A_3_121
506 1.0 A_3_122
507 1.0 A_3_123
508 1.0 A_3_124
509 1.0 A_3_125
510 1.0 A_3_126
511 1.0 A_3_127
512 1.0 A_4_0
513 1.0 A_4_1
514 1.0 A_4_2
515 1.0 A_4_3
516 1.0 A_4_4
517 1.0 A_4_5
518 1.0 A_4_6
519 1.0 A_4_7
520 1.0 A_4_8
521 1.0 A_4_9
522 1.0 A_4_10
523 1.0 A_4_11
524 1.0 A_4_12
525 1.0 A_4_13
526 1.0 A_4_14
527 1.0 A_4_15
528 1.0 A_4_16
529 1.0 A_4_17
530 1.0 A_4_18
531 1.0 A_4_19
532 1.0 A_4_20
533 1.0 A_4_21
534 1.0 A_4_22
535 1.0 A_4_23
536 1.0 A_4_24
537 1.0 A_4_25
538 1.0 A_4_26
539 1.0 A_4_27
540 1.0 A_4_28
541 1.0 A_4_29
542 1.0 A_4_30
543 1.0 A_4_31
544 1.0 A_4_32
545 1.0 A_4_33
546 1.0 A_4_34
547 1.0 A_4_35
548 1.0 A_4_36
549 1.0 A_4_37
550 1.0 A_4_38
551 1.0 A_4_39
552 1.0 A_4_40
553 1.0 A_4_41
554 1.0 A_4_42
555 1.0 A_4_43
556 1.0 A_4_44
557 1.0 A_4_45
558 1.0 A_4_46
559 1.0 A_4_47
560 1.0 A_4_48
561 1.0 A_4_49
562 1.0 A_4_50
563 1.0 A_4_51
564 1.0 A_4_52
565 1.0 A_4_53
566 1.0 A_4_54
567 1.0 A_4_55
568 1.0 A_4_56
569 1.0 A_4_57
570 1.0 A_4_58
571 1.0 A_4_59
572 1.0 A_4_60
573 1.0 A_4_61
574 1.0 A_4_62
575 1.0 A_4_63
576 1.0 A_4_64
577 1.0 A_4_65
578 1.0 A_4_66
